r.experience,discipline,research.data,r.studio
1,physiology,quantitative,No
1,physiology,quantitative,Yes
,ecology,quantitative,Yes
2,ecology,quantitative,No
2,ecology,quantitative,No
2,physiology,qualitative,No
1,genetics,quantitative,No
1,environmental science,quantitative,No
2,genetics,qualitative,Yes
2,ecology,quantitative,Yes
1,physiology,quantitative,No
3,ecology,quantitative,Yes
4,ecology,quantitative,Yes
3,ecology,quantitative,Yes
2,ecology,quantitative,Yes
2,genetics,quantitative,Yes
,genetics,quantitative,No
2,ecology,quantitative,Yes
1,environmental science,quantitative,No
1,environmental science,quantitative,No
2,ecology,qualitative,No
