year,month,region,food.item,cost
1995,1,Canada,"Round steak, 1 kilogram",10.17
1995,2,Canada,"Round steak, 1 kilogram",10.29
1995,3,Canada,"Round steak, 1 kilogram",10.12
1995,4,Canada,"Round steak, 1 kilogram",10.38
1995,5,Canada,"Round steak, 1 kilogram",10
1995,6,Canada,"Round steak, 1 kilogram",10.19
1995,7,Canada,"Round steak, 1 kilogram",10.26
1995,8,Canada,"Round steak, 1 kilogram",10.07
1995,9,Canada,"Round steak, 1 kilogram",10.08
1995,10,Canada,"Round steak, 1 kilogram",9.92
1995,11,Canada,"Round steak, 1 kilogram",9.49
1995,12,Canada,"Round steak, 1 kilogram",9.88
1996,1,Canada,"Round steak, 1 kilogram",9.63
1996,2,Canada,"Round steak, 1 kilogram",9.96
1996,3,Canada,"Round steak, 1 kilogram",9.46
1996,4,Canada,"Round steak, 1 kilogram",9.94
1996,5,Canada,"Round steak, 1 kilogram",9.65
1996,6,Canada,"Round steak, 1 kilogram",9.65
1996,7,Canada,"Round steak, 1 kilogram",9.32
1996,8,Canada,"Round steak, 1 kilogram",9.37
1996,9,Canada,"Round steak, 1 kilogram",9.32
1996,10,Canada,"Round steak, 1 kilogram",9.53
1996,11,Canada,"Round steak, 1 kilogram",9.18
1996,12,Canada,"Round steak, 1 kilogram",9.66
1997,1,Canada,"Round steak, 1 kilogram",9.7
1997,2,Canada,"Round steak, 1 kilogram",9.55
1997,3,Canada,"Round steak, 1 kilogram",9.23
1997,4,Canada,"Round steak, 1 kilogram",9.43
1997,5,Canada,"Round steak, 1 kilogram",9.17
1997,6,Canada,"Round steak, 1 kilogram",9.23
1997,7,Canada,"Round steak, 1 kilogram",9.35
1997,8,Canada,"Round steak, 1 kilogram",8.92
1997,9,Canada,"Round steak, 1 kilogram",9.38
1997,10,Canada,"Round steak, 1 kilogram",9.5
1997,11,Canada,"Round steak, 1 kilogram",9.27
1997,12,Canada,"Round steak, 1 kilogram",9.88
1998,1,Canada,"Round steak, 1 kilogram",9.54
1998,2,Canada,"Round steak, 1 kilogram",9.64
1998,3,Canada,"Round steak, 1 kilogram",9.3
1998,4,Canada,"Round steak, 1 kilogram",9.22
1998,5,Canada,"Round steak, 1 kilogram",9.19
1998,6,Canada,"Round steak, 1 kilogram",8.84
1998,7,Canada,"Round steak, 1 kilogram",9.05
1998,8,Canada,"Round steak, 1 kilogram",9.21
1998,9,Canada,"Round steak, 1 kilogram",9.38
1998,10,Canada,"Round steak, 1 kilogram",9
1998,11,Canada,"Round steak, 1 kilogram",9.48
1998,12,Canada,"Round steak, 1 kilogram",9.23
1999,1,Canada,"Round steak, 1 kilogram",9
1999,2,Canada,"Round steak, 1 kilogram",9.36
1999,3,Canada,"Round steak, 1 kilogram",9.17
1999,4,Canada,"Round steak, 1 kilogram",9.46
1999,5,Canada,"Round steak, 1 kilogram",9.07
1999,6,Canada,"Round steak, 1 kilogram",9.19
1999,7,Canada,"Round steak, 1 kilogram",9.38
1999,8,Canada,"Round steak, 1 kilogram",9.3
1999,9,Canada,"Round steak, 1 kilogram",9.34
1999,10,Canada,"Round steak, 1 kilogram",9.28
1999,11,Canada,"Round steak, 1 kilogram",9.29
1999,12,Canada,"Round steak, 1 kilogram",9.13
2000,1,Canada,"Round steak, 1 kilogram",9.05
2000,2,Canada,"Round steak, 1 kilogram",9.36
2000,3,Canada,"Round steak, 1 kilogram",9.35
2000,4,Canada,"Round steak, 1 kilogram",9.55
2000,5,Canada,"Round steak, 1 kilogram",9.55
2000,6,Canada,"Round steak, 1 kilogram",9.63
2000,7,Canada,"Round steak, 1 kilogram",9.75
2000,8,Canada,"Round steak, 1 kilogram",9.87
2000,9,Canada,"Round steak, 1 kilogram",9.7
2000,10,Canada,"Round steak, 1 kilogram",9.86
2000,11,Canada,"Round steak, 1 kilogram",9.79
2000,12,Canada,"Round steak, 1 kilogram",10.25
2001,1,Canada,"Round steak, 1 kilogram",10.41
2001,2,Canada,"Round steak, 1 kilogram",11.13
2001,3,Canada,"Round steak, 1 kilogram",11.47
2001,4,Canada,"Round steak, 1 kilogram",11.7
2001,5,Canada,"Round steak, 1 kilogram",11.38
2001,6,Canada,"Round steak, 1 kilogram",11.34
2001,7,Canada,"Round steak, 1 kilogram",10.93
2001,8,Canada,"Round steak, 1 kilogram",10.89
2001,9,Canada,"Round steak, 1 kilogram",11.18
2001,10,Canada,"Round steak, 1 kilogram",11.15
2001,11,Canada,"Round steak, 1 kilogram",11
2001,12,Canada,"Round steak, 1 kilogram",11.47
2002,1,Canada,"Round steak, 1 kilogram",11.13
2002,2,Canada,"Round steak, 1 kilogram",11.26
2002,3,Canada,"Round steak, 1 kilogram",11.3
2002,4,Canada,"Round steak, 1 kilogram",11.36
2002,5,Canada,"Round steak, 1 kilogram",11.43
2002,6,Canada,"Round steak, 1 kilogram",11.3
2002,7,Canada,"Round steak, 1 kilogram",11.29
2002,8,Canada,"Round steak, 1 kilogram",11.08
2002,9,Canada,"Round steak, 1 kilogram",10.85
2002,10,Canada,"Round steak, 1 kilogram",11.01
2002,11,Canada,"Round steak, 1 kilogram",11.1
2002,12,Canada,"Round steak, 1 kilogram",11.39
2003,1,Canada,"Round steak, 1 kilogram",11.43
2003,2,Canada,"Round steak, 1 kilogram",12.09
2003,3,Canada,"Round steak, 1 kilogram",12.24
2003,4,Canada,"Round steak, 1 kilogram",12.58
2003,5,Canada,"Round steak, 1 kilogram",11.65
2003,6,Canada,"Round steak, 1 kilogram",11.57
2003,7,Canada,"Round steak, 1 kilogram",11.59
2003,8,Canada,"Round steak, 1 kilogram",10.68
2003,9,Canada,"Round steak, 1 kilogram",10.91
2003,10,Canada,"Round steak, 1 kilogram",11.45
2003,11,Canada,"Round steak, 1 kilogram",12.25
2003,12,Canada,"Round steak, 1 kilogram",11.99
2004,1,Canada,"Round steak, 1 kilogram",11.75
2004,2,Canada,"Round steak, 1 kilogram",12.48
2004,3,Canada,"Round steak, 1 kilogram",12.04
2004,4,Canada,"Round steak, 1 kilogram",12.28
2004,5,Canada,"Round steak, 1 kilogram",12.27
2004,6,Canada,"Round steak, 1 kilogram",12.49
2004,7,Canada,"Round steak, 1 kilogram",12.1
2004,8,Canada,"Round steak, 1 kilogram",12.47
2004,9,Canada,"Round steak, 1 kilogram",12.26
2004,10,Canada,"Round steak, 1 kilogram",12.26
2004,11,Canada,"Round steak, 1 kilogram",12.2
2004,12,Canada,"Round steak, 1 kilogram",12.08
2005,1,Canada,"Round steak, 1 kilogram",12.43
2005,2,Canada,"Round steak, 1 kilogram",12.49
2005,3,Canada,"Round steak, 1 kilogram",12.17
2005,4,Canada,"Round steak, 1 kilogram",12.06
2005,5,Canada,"Round steak, 1 kilogram",12.27
2005,6,Canada,"Round steak, 1 kilogram",12.28
2005,7,Canada,"Round steak, 1 kilogram",11.93
2005,8,Canada,"Round steak, 1 kilogram",11.72
2005,9,Canada,"Round steak, 1 kilogram",11.78
2005,10,Canada,"Round steak, 1 kilogram",11.84
2005,11,Canada,"Round steak, 1 kilogram",11.91
2005,12,Canada,"Round steak, 1 kilogram",12.07
2006,1,Canada,"Round steak, 1 kilogram",12.09
2006,2,Canada,"Round steak, 1 kilogram",11.97
2006,3,Canada,"Round steak, 1 kilogram",11.95
2006,4,Canada,"Round steak, 1 kilogram",11.76
2006,5,Canada,"Round steak, 1 kilogram",11.79
2006,6,Canada,"Round steak, 1 kilogram",11.78
2006,7,Canada,"Round steak, 1 kilogram",11.73
2006,8,Canada,"Round steak, 1 kilogram",11.64
2006,9,Canada,"Round steak, 1 kilogram",11.98
2006,10,Canada,"Round steak, 1 kilogram",11.91
2006,11,Canada,"Round steak, 1 kilogram",11.83
2006,12,Canada,"Round steak, 1 kilogram",11.9
2007,1,Canada,"Round steak, 1 kilogram",12.05
2007,2,Canada,"Round steak, 1 kilogram",12.22
2007,3,Canada,"Round steak, 1 kilogram",12.17
2007,4,Canada,"Round steak, 1 kilogram",12.35
2007,5,Canada,"Round steak, 1 kilogram",12.41
2007,6,Canada,"Round steak, 1 kilogram",12.25
2007,7,Canada,"Round steak, 1 kilogram",11.92
2007,8,Canada,"Round steak, 1 kilogram",12
2007,9,Canada,"Round steak, 1 kilogram",11.9
2007,10,Canada,"Round steak, 1 kilogram",11.99
2007,11,Canada,"Round steak, 1 kilogram",11.75
2007,12,Canada,"Round steak, 1 kilogram",11.61
2008,1,Canada,"Round steak, 1 kilogram",11.62
2008,2,Canada,"Round steak, 1 kilogram",11.91
2008,3,Canada,"Round steak, 1 kilogram",11.83
2008,4,Canada,"Round steak, 1 kilogram",11.77
2008,5,Canada,"Round steak, 1 kilogram",11.87
2008,6,Canada,"Round steak, 1 kilogram",11.82
2008,7,Canada,"Round steak, 1 kilogram",11.86
2008,8,Canada,"Round steak, 1 kilogram",12.22
2008,9,Canada,"Round steak, 1 kilogram",12.31
2008,10,Canada,"Round steak, 1 kilogram",12.4
2008,11,Canada,"Round steak, 1 kilogram",12.49
2008,12,Canada,"Round steak, 1 kilogram",12.49
2009,1,Canada,"Round steak, 1 kilogram",12.54
2009,2,Canada,"Round steak, 1 kilogram",12.7
2009,3,Canada,"Round steak, 1 kilogram",12.56
2009,4,Canada,"Round steak, 1 kilogram",12.98
2009,5,Canada,"Round steak, 1 kilogram",12.86
2009,6,Canada,"Round steak, 1 kilogram",12.71
2009,7,Canada,"Round steak, 1 kilogram",12.64
2009,8,Canada,"Round steak, 1 kilogram",12.54
2009,9,Canada,"Round steak, 1 kilogram",12.56
2009,10,Canada,"Round steak, 1 kilogram",12.42
2009,11,Canada,"Round steak, 1 kilogram",12.35
2009,12,Canada,"Round steak, 1 kilogram",12.5
2010,1,Canada,"Round steak, 1 kilogram",12.33
2010,2,Canada,"Round steak, 1 kilogram",12.52
2010,3,Canada,"Round steak, 1 kilogram",12.37
2010,4,Canada,"Round steak, 1 kilogram",12.54
2010,5,Canada,"Round steak, 1 kilogram",12.63
2010,6,Canada,"Round steak, 1 kilogram",12.33
2010,7,Canada,"Round steak, 1 kilogram",12.38
2010,8,Canada,"Round steak, 1 kilogram",12.44
2010,9,Canada,"Round steak, 1 kilogram",12.58
2010,10,Canada,"Round steak, 1 kilogram",12.98
2010,11,Canada,"Round steak, 1 kilogram",12.65
2010,12,Canada,"Round steak, 1 kilogram",12.83
2011,1,Canada,"Round steak, 1 kilogram",12.77
2011,2,Canada,"Round steak, 1 kilogram",13.06
2011,3,Canada,"Round steak, 1 kilogram",13.2
2011,4,Canada,"Round steak, 1 kilogram",13.29
2011,5,Canada,"Round steak, 1 kilogram",13.44
2011,6,Canada,"Round steak, 1 kilogram",13.71
2011,7,Canada,"Round steak, 1 kilogram",13.67
2011,8,Canada,"Round steak, 1 kilogram",13.61
2011,9,Canada,"Round steak, 1 kilogram",13.75
2011,10,Canada,"Round steak, 1 kilogram",13.55
2011,11,Canada,"Round steak, 1 kilogram",13.58
2011,12,Canada,"Round steak, 1 kilogram",13.57
2012,1,Canada,"Round steak, 1 kilogram",13.9
2012,2,Canada,"Round steak, 1 kilogram",13.91
2012,3,Canada,"Round steak, 1 kilogram",14.1
2012,4,Canada,"Round steak, 1 kilogram",14.11
2012,5,Canada,"Round steak, 1 kilogram",14.32
2012,6,Canada,"Round steak, 1 kilogram",14.09
2012,7,Canada,"Round steak, 1 kilogram",14.18
2012,8,Canada,"Round steak, 1 kilogram",14.31
2012,9,Canada,"Round steak, 1 kilogram",14.2
2012,10,Canada,"Round steak, 1 kilogram",14.21
2012,11,Canada,"Round steak, 1 kilogram",14.17
