country,ecological.footprint,yr
United Arab Emirates,15.99,2000
United States,12.22,2000
Kuwait,10.31,2000
Denmark,9.88,2000
New Zealand,9.54,2000
Ireland,9.43,2000
Australia,8.49,2000
Finland,8.45,2000
Canada,7.66,2000
Sweden,7.53,2000
France,7.27,2000
Estonia,7.12,2000
Switzerland,6.63,2000
Germany,6.31,2000
Czech Republic,6.3,2000
United Kingdom,6.29,2000
Saudi Arabia,6.15,2000
Norway,6.13,2000
Iceland,6.02,2000
Japan,5.94,2000
Belgium,5.88,2000
Netherlands,5.75,2000
South Korea,5.6,2000
Greece,5.58,2000
Italy,5.51,2000
Spain,5.5,2000
Austria,5.45,2000
Israel,5.4,2000
Slovenia,5.4,2000
Poland,5.4,2000
Russia,5.36,2000
Belarus,5.27,2000
Hungary,5.01,2000
Portugal,4.99,2000
Uruguay,4.91,2000
Lithuania,4.76,2000
Ukraine,4.76,2000
Kazakhstan,4.45,2000
Libya,4.36,2000
Mongolia,4.3,2000
South Africa,4.04,2000
Slovakia,3.94,2000
Bulgaria,3.81,2000
Argentina,3.79,2000
Latvia,3.74,2000
Malaysia,3.68,2000
Turkmenistan,3.62,2000
Romania,3.49,2000
Oman,3.39,2000
Chile,3.39,2000
Republic of Macedonia,3.24,2000
Lebanon,3.19,2000
Venezuela,2.88,2000
Paraguay,2.84,2000
Costa Rica,2.77,2000
Turkey,2.73,2000
Thailand,2.7,2000
Mexico,2.69,2000
Jamaica,2.68,2000
Uzbekistan,2.65,2000
Brazil,2.6,2000
Syria,2.56,2000
Moldova,2.47,2000
Iran,2.47,2000
Trinidad and Tobago,2.43,2000
Panama,2.35,2000
Croatia,2.35,2000
Tunisia,2.27,2000
Ecuador,2.26,2000
Azerbaijan,2.18,2000
Cuba,2.1,2000
Gabon,2.06,2000
North Korea,1.92,2000
Colombia,1.9,2000
Kyrgyzstan,1.87,2000
Albania,1.86,2000
China,1.84,2000
Algeria,1.79,2000
Iraq,1.73,2000
Jordan,1.71,2000
Egypt,1.7,2000
Botswana,1.68,2000
Morocco,1.56,2000
El Salvador,1.55,2000
Indonesia,1.48,2000
Zimbabwe,1.45,2000
Honduras,1.43,2000
Philippines,1.42,2000
Papua New Guinea,1.4,2000
Guatemala,1.4,2000
Dominica,1.37,2000
Peru,1.33,2000
Nigeria,1.31,2000
Bosnia and Herzegovina,1.29,2000
Bolivia,1.29,2000
Nicaragua,1.26,2000
Mauritania,1.22,2000
Zambia,1.21,2000
Liberia,1.16,2000
Armenia,1.16,2000
Kenya,1.15,2000
Democratic Republic of the Congo,1.15,2000
Sudan,1.14,2000
Central African Republic,1.12,2000
Ghana,1.12,2000
Pakistan,1.09,2000
Burma,1.07,2000
Senegal,1.06,2000
India,1.06,2000
Tanzania,1.02,2000
Nepal,1.01,2000
The Gambia,0.99,2000
Somalia,0.97,2000
Benin,0.97,2000
Niger,0.97,2000
Cote d'Ivoire,0.95,2000
Vietnam,0.95,2000
Sri Lanka,0.95,2000
Madagascar,0.93,2000
Laos,0.91,2000
Burkina Faso,0.9,2000
Tajikistan,0.9,2000
Rwanda,0.9,2000
Cameroon,0.89,2000
Uganda,0.88,2000
Malawi,0.87,2000
Mali,0.86,2000
Ethiopia,0.85,2000
Guinea,0.85,2000
Cambodia,0.83,2000
Togo,0.82,2000
Angola,0.82,2000
Guinea-Bissau,0.8,2000
Bhutan,0.79,2000
Haiti,0.78,2000
Mozambique,0.76,2000
Chad,0.75,2000
Burundi,0.75,2000
Sierra Leone,0.73,2000
Namibia,0.66,2000
Bangladesh,0.6,2000
Austria,5.3,2012
Switzerland,5,2012
France,4.9,2012
Norway,4.8,2012
United Kingdom,4.7,2012
Germany,4.6,2012
New Zealand,4.3,2012
Japan,4.2,2012
Israel,4,2012
Mexico,3.3,2012
Chile,3.2,2012
Panama,3,2012
Venezuela,3,2012
Brazil,2.9,2012
Argentina,2.7,2012
Turkey,2.6,2012
Costa Rica,2.5,2012
Ecuador,2.4,2012
Thailand,2.4,2012
Belize,2.1,2012
Moldova,2.1,2012
Jordan,2.1,2012
Guyana,2.1,2012
Peru,2,2012
El Salvador,2,2012
Cuba,1.9,2012
Colombia,1.8,2012
Guatemala,1.8,2012
Tunisia,1.8,2012
Albania,1.8,2012
Honduras,1.7,2012
Jamaica,1.7,2012
Algeria,1.6,2012
Nicaragua,1.6,2012
Syria,1.5,2012
Vietnam,1.4,2012
Iraq,1.4,2012
Palestine,1.4,2012
Dominican Republic,1.4,2012
Laos,1.3,2012
Morocco,1.3,2012
Kyrgyzstan,1.3,2012
Madagascar,1.2,2012
Sri Lanka,1.2,2012
Indonesia,1.1,2012
Philippines,1,2012
Tajikistan,0.9,2012
India,0.9,2012
Pakistan,0.8,2012
Bangladesh,0.7,2012
