Route,Mode/,,,,,,
note,"Customers per day, Mon-Fri",Vehicles in morning peak period,Vehicles in afternoon peak period,"Hours per day, Mon-Fri","Kilometres per day, Mon-Fri","Cost per day, Mon-Fri",
192 Airport Rocket,,"4,000",4,6,95,"3,300",
"$16,100",,,,,,,
,,,,,,,
117 Alness,,"2,800",4,4,45,750,"$6,500"
99 Arrrow Rd,,130,0,0,13,310,"$1,800"
5 Avenue Rd,,"1,900",4,3,45,650,"$6,200"
61 Avenue Rd North,,"3,600",5,4,65,950,"$9,000"
7 Bathurst,,"24,300",19,22,310,"5,400","$44,000"
511 Bathurst,,,,,,,
SC,,,,,,,
,,,,,,,
"17,400",11,11,230,"2,800","$41,100",,
160 Bathurst North,,,,,,,
-1,,,,,,,
,,,,,,,
"2,500",3,3,45,730,"$6,200",,
6 Bay,,"7,900",22,16,220,"2,600","$30,700"
11 Bayview and 28 Davisville,,,,,,,
-2,,,,,,,
,,,,,,,
"10,400",13,11,170,"3,000","$24,800",,
9 Bellamy,,"4,100",5,5,75,"1,600","$11,300"
17 Birchmount,,,,,,,
-1,,,,,,,
,,,,,,,
"10,900",12,10,150,"3,400","$23,600",,
49 Bloor West,,"3,100",4,3,45,880,"$6,900"
21 Brimley,,"9,500",9,8,130,"2,700","$19,300"
8 Broadview,,920,1,1,20,330,"$2,700"
50 Burnhamthorpe,,"3,100",4,3,50,890,"$7,100"
120 Calvington,,"1,100",2,2,35,690,"$4,900"
506 Carlton,,,,,,,
SC,,,,,,,
,,,,,,,
"39,600",32,27,450,"6,500","$91,100",,
126 Christie,,"2,600",2,2,30,370,"$3,900"
20 Cliffside,,"6,100",6,6,85,"1,500","$12,500"
87 Cosburn,,"8,200",10,10,120,"2,100","$17,700"
22 Coxwell,,"7,100",3,3,65,930,"$8,600"
42 Cummer,,"7,200",15,12,170,"3,900","$26,500"
113 Danforth,,"4,800",4,4,60,960,"$8,300"
127 Davenport,,"1,600",3,2,45,730,"$6,200"
23 Dawes,,"6,200",6,5,75,1000,"$10,300"
25 Don Mills,,"38,000",34,32,440,"8,500","$65,400"
108 Downsview,,"6,400",8,6,100,"2,200","$15,600"
101 Downsview Park,,540,1,1,17,290,"$2,400"
502 Downtowner and 503 Kingston Rd,,,,,,,
SC(2),,,,,,,
,,,,,,,
"6,000",13,13,110,"1,500","$27,600",,
125 Drewry,,"2,900",5,3,50,790,"$7,000"
29 Dufferin,,"39,700",31,33,520,"8,500","$73,200"
105 Dufferin North,,,,,,,
-1,,,,,,,
,,,,,,,
"2,200",2,2,45,900,"$6,300",,
505 Dundas,,,,,,,
SC,,,,,,,
,,,,,,,
"31,900",19,20,310,"4,100","$60,900",,
26 Dupont,,"3,600",5,6,80,"1,300","$11,300"
111 East Mall,,"6,400",5,6,85,"2,000","$13,300"
34 Eglinton East,,"29,500",26,26,340,"5,900","$49,300"
32 Eglinton West,,"48,700",51,38,610,"10,400","$88,400"
15 Evans,,"2,700",4,4,55,"1,100","$8,200"
104 Faywood,,"3,300",4,4,65,"1,300","$9,300"
"39 Finch East,",,,,,,,
"139 Finch-Don Mills, and 199 Finch Rocket",,,,,,,
-2,,,,,,,
,,,,,,,
"44,000",67,51,750,"17,900","$118,900",,
36 Finch West,,"44,000",35,39,530,"10,600","$78,600"
100 Flemingdon Park,,"15,800",20,14,260,"5,300","$39,100"
33 Forest Hill,,620,1,1,13,190,"$1,800"
135 Gerrard,,"2,400",2,2,35,630,"$4,800"
14 Glencairn,,"2,500",3,3,40,660,"$5,900"
122 Graydon Hall,,"3,900",6,5,75,"1,500","$11,200"
31 Greenwood,,"3,300",2,3,40,550,"$5,600"
38 Highland Creek,,"8,600",8,10,160,"3,600","$23,600"
191 Highway 27 Rocket,,"9,000",13,16,190,"5,600","$31,700"
169 Huntingwood and 10 Van Horne,,,,,,,
-2,,,,,,,
,,,,,,,
"2,700",6,6,85,"1,600","$12,500",,
37 Islington,,,,,,,
-1,,,,,,,
,,,,,,,
"17,000",20,15,270,"5,600","$40,500",,
110 Islington South,,"9,000",10,10,140,"2,500","$20,500"
35 Jane,,,,,,,
-1,,,,,,,
,,,,,,,
"44,400",31,32,470,"9,000","$68,900",,
83 Jones,,"2,300",3,2,35,530,"$5,100"
40 Junction,,"4,800",4,4,60,820,"$8,300"
41 Keele,,"24,600",21,23,330,"6,200","$48,100"
107 Keele North,,,,,,,
-1,,,,,,,
,,,,,,,
820,5,5,65,"1,300","$9,900",,
43 Kennedy,,"15,500",11,13,200,"3,800","$29,200"
504 King and ,,,,,,,
508 Lake Shore,,,,,,,
SC(2),,,,,,,
,,,,,,,
"57,300",51,47,640,"9,100","$136,800",,
12 Kingston Rd,,"9,600",11,9,150,"2,600","$21,300"
45 Kipling,,"18,900",21,23,280,"7,000","$45,200"
44 Kipling South,,"9,400",10,10,120,"2,300","$18,500"
30 Lambton,,"2,500",3,3,50,910,"$7,000"
47 Lansdowne,,"15,400",13,10,180,"3,000","$25,900"
54 Lawrence East,,"36,300",41,37,550,"11,400","$83,300"
52 Lawrence West,,"23,000",22,20,290,"5,300","$42,300"
56 Leaside,,"3,400",4,4,55,960,"$8,200"
51 Leslie,,"4,100",8,7,100,"2,200","$15,300"
64 Main,,"6,400",4,4,60,790,"$8,200"
58 Malton,,,,,,,
-1,,,,,,,
,,,,,,,
"17,500",16,23,300,"6,200","$45,000",,
59 Maple Leaf,,"2,700",6,5,75,"1,300","$10,700"
102 Markham Rd,,,,,,,
-1,,,,,,,
,,,,,,,
"23,000",18,19,280,"5,600","$41,300",,
46 Martin Grove,,"6,800",9,9,140,"3,000","$20,600"
16 McCowan,,"9,800",8,9,120,"2,300","$18,000"
129 McCowan North,,,,,,,
-1,,,,,,,
,,,,,,,
"14,500",11,11,160,"3,300","$24,300",,
130 Middlefield,,"2,000",3,3,40,900,"$6,400"
57 Midland,,"11,900",13,9,150,"3,100","$22,500"
